,Caballito,,,,
,Enero,Febrero,Marzo,Abril,Tendencia
Disponibilidad,"71,0%","71,4%","70,2%","70,8%",
Profundidad,"58,79%","61,5%","60,0%","52,5%",
Gap (p.p.),"12,2","9,9","10,2","18,3",
,,,,,
,Scalabrini Ortiz,,,,
,Enero,Febrero,Marzo,Abril,Tendencia
Disponibilidad,"69,0%","69,6%","68,7%","71,1%",
Profundidad,"59,03%","63,0%","61,6%","55,7%",
Gap (p.p.),"10,0","6,6","7,1","15,4",
,,,,,
,Vicente Lopez,,,,
,Enero,Febrero,Marzo,Abril,Tendencia
Disponibilidad,"72,1%","72,4%","70,9%","73,7%",
Profundidad,"60,10%","62,8%","62,7%","57,0%",
Gap (p.p.),"12,0","9,6","8,2","16,7",
,,,,,
,Villa Urquiza,,,,
,Enero,Febrero,Marzo,Abril,Tendencia
Disponibilidad,"69,9%","70,7%","69,9%","71,1%",
Profundidad,"57,91%","60,2%","61,8%","54,3%",
Gap (p.p.),"12,0","10,6","8,2","16,8",
