Fecha,Compras,Ordenes,NMV,NMV_USD,NSI,TSIE_total
2026-01-01,36,241,2532099.0,1740.0,751.0,752
2026-01-02,94,574,4858947.0,3340.0,1402.0,1409
2026-01-03,61,393,3250414.0,2204.0,952.0,961
2026-01-04,54,366,2775250.0,1882.0,780.0,787
2026-01-05,97,677,5534988.0,3753.0,1529.0,1532
2026-01-06,85,521,4906674.0,3338.0,1155.0,1160
2026-01-07,99,467,4801241.0,3272.0,1173.0,1185
2026-01-08,62,360,2732871.0,1872.0,841.0,844
2026-01-09,86,555,4314386.0,2947.0,1249.0,1252
2026-01-10,78,576,4453265.0,3040.0,1162.0,1167
2026-01-11,59,412,3104405.0,2119.0,966.0,972
2026-01-12,102,676,5597623.0,3821.0,1677.0,1700
2026-01-13,148,996,9294332.0,6333.0,2233.0,2240
2026-01-14,122,585,6131061.0,4208.0,1816.0,1846
2026-01-15,117,731,6123028.0,4214.0,1642.0,1664
2026-01-16,115,541,5369668.0,3726.0,1284.0,1298
2026-01-17,85,532,5031886.0,3519.0,1130.0,1138
2026-01-18,74,523,4498390.0,3146.0,1214.0,1222
2026-01-19,133,673,7442759.0,5205.0,1893.0,1911
2026-01-20,94,455,4981714.0,3473.0,916.0,923
2026-01-21,111,589,6400486.0,4462.0,1425.0,1439
2026-01-22,109,774,5914898.0,4135.0,1614.0,1627
2026-01-23,146,1120,9916550.0,6937.0,2560.0,2573
2026-01-24,94,612,5406446.0,3773.0,1378.0,1383
2026-01-25,83,588,4817474.0,3362.0,1417.0,1423
2026-01-26,149,1012,8222338.0,5738.0,2355.0,2375
2026-01-27,134,849,7927640.0,5515.0,2175.0,2204
2026-01-28,118,740,6474649.0,4504.0,1737.0,1743
2026-01-29,156,1009,8719288.0,6036.0,2411.0,2427
2026-01-30,146,954,8196374.0,5674.0,2229.0,2252
2026-01-31,100,724,5708387.0,3945.0,1594.0,1603
2026-02-01,123,820,7331331.0,5067.0,1758.0,1774
2026-02-02,166,1052,1.0580844E7,7312.0,2976.0,2991
2026-02-03,168,953,9865560.0,6799.0,2351.0,2368
2026-02-04,142,816,7955081.0,5501.0,1929.0,1939
2026-02-05,185,1026,1.0909287E7,7537.0,2699.0,2722
2026-02-06,132,821,7507366.0,5206.0,1791.0,1808
2026-02-07,106,648,5885806.0,4110.0,1504.0,1524
2026-02-08,104,610,4957122.0,3462.0,1279.0,1295
2026-02-09,160,957,9106309.0,6359.0,2413.0,2438
2026-02-10,157,926,9585584.0,6769.0,2422.0,2429
2026-02-11,140,1039,8920839.0,6345.0,2357.0,2363
2026-02-12,171,902,8926956.0,6376.0,2474.0,2492
2026-02-13,153,927,8434846.0,6047.0,2266.0,2290
2026-02-14,134,674,6834601.0,4884.0,1707.0,1733
2026-02-15,84,480,4498659.0,3214.0,1237.0,1249
2026-02-16,96,659,5348795.0,3822.0,1521.0,1562
2026-02-17,141,881,7659176.0,5473.0,2012.0,2029
2026-02-18,158,866,8793646.0,6283.0,2011.0,2037
2026-02-19,177,1030,9243201.0,6621.0,2498.0,2535
2026-02-20,187,1283,1.1223328E7,8080.0,2683.0,2696
2026-02-21,142,987,7712241.0,5605.0,2057.0,2089
2026-02-22,125,907,6881120.0,5001.0,2037.0,2047
2026-02-23,174,1060,9373543.0,6812.0,2472.0,2485
2026-02-24,230,1294,1.3287259E7,9695.0,3553.0,3582
2026-02-25,192,1252,1.1583177E7,8391.0,3270.0,3290
2026-02-26,205,1220,1.1193237E7,8001.0,3005.0,3035
2026-02-27,167,1186,9703811.0,6892.0,2779.0,2833
2026-02-28,173,978,8873254.0,6352.0,2203.0,2217
2026-03-01,144,1050,8550793.0,6121.0,2344.0,2352
2026-03-02,183,1127,9766875.0,6991.0,2722.0,2743
2026-03-03,195,1034,1.0723517E7,7687.0,2834.0,2851
2026-03-04,219,1260,1.2508375E7,8840.0,3269.0,3300
2026-03-05,183,1265,1.0513207E7,7507.0,3046.0,3068
2026-03-06,131,803,7045626.0,5008.0,2005.0,2013
2026-03-07,127,828,7255012.0,5124.0,2054.0,2077
2026-03-08,125,759,6765264.0,4778.0,1755.0,1783
2026-03-09,166,1034,1.0036014E7,7088.0,2604.0,2634
2026-03-10,189,1252,1.168205E7,8250.0,2884.0,2894
2026-03-11,166,899,9409613.0,6721.0,2185.0,2201
2026-03-12,141,837,7680330.0,5502.0,1919.0,1937
2026-03-13,143,878,8808580.0,6317.0,2043.0,2089
2026-03-14,133,1065,8376391.0,5983.0,2206.0,2213
2026-03-15,112,696,6378832.0,4556.0,1536.0,1542
