Mes,Tienda,Perfect_Purchases,Total_Purchases,Perfect_Purchase_Rate,Total_Claims,Repentance_Claims,Incomplete_Claims,Different_Claims,Defective_Claims,Claims_Rate,On_Time,Cancel_Rate
2025-10-01,Caballito,0.0,0.0,,,,,,,,,
2025-10-01,Scalabrini,127.0,214.0,0.5935,16,0,3,5,0,0.0748,0.9645,0.0789
2025-10-01,Vicente Lopez,0.0,0.0,,,,,,,,,
2025-10-01,Villa Urquiza,0.0,0.0,,,,,,,,,
2025-11-01,Caballito,0.0,0.0,,,,,,,,,
2025-11-01,Scalabrini,423.0,620.0,0.6823,62,1,44,4,2,0.1,0.921,0.052
2025-11-01,Vicente Lopez,264.0,404.0,0.6535,22,0,3,2,5,0.0545,0.9406,0.0519
2025-11-01,Villa Urquiza,0.0,0.0,,,,,,,,,
2025-12-01,Caballito,359.0,733.0,0.4898,63,3,10,8,3,0.0859,0.8571,0.1335
2025-12-01,Scalabrini,481.0,999.0,0.4815,55,0,6,5,3,0.0551,0.727,0.065
2025-12-01,Vicente Lopez,475.0,893.0,0.5319,57,3,8,5,2,0.0638,0.7412,0.0743
2025-12-01,Villa Urquiza,308.0,519.0,0.5934,39,4,6,7,1,0.0751,0.9081,0.0897
2026-01-01,Caballito,444.0,886.0,0.5011,52,4,7,1,1,0.0587,0.9079,0.0804
2026-01-01,Scalabrini,505.0,904.0,0.5586,30,1,9,1,2,0.0332,0.8562,0.0373
2026-01-01,Vicente Lopez,540.0,825.0,0.6545,52,8,17,6,2,0.063,0.9199,0.0423
2026-01-01,Villa Urquiza,344.0,598.0,0.5753,33,4,7,2,0,0.0552,0.8862,0.0391
2026-02-01,Caballito,553.0,1189.0,0.4651,70,1,13,2,6,0.0589,0.8663,0.0677
2026-02-01,Scalabrini,571.0,1229.0,0.4646,62,1,15,3,10,0.0504,0.6709,0.045
2026-02-01,Vicente Lopez,738.0,1199.0,0.6155,66,0,14,8,8,0.055,0.8552,0.0435
2026-02-01,Villa Urquiza,447.0,812.0,0.5505,54,3,16,5,3,0.0665,0.8639,0.0531
2026-03-01,Caballito,603.0,1421.0,0.4243,117,2,25,9,16,0.0823,0.8502,0.0998
2026-03-01,Scalabrini,823.0,1607.0,0.5121,97,1,39,5,5,0.0604,0.845,0.0486
2026-03-01,Vicente Lopez,857.0,1488.0,0.5759,101,3,29,7,9,0.0679,0.8275,0.0523
2026-03-01,Villa Urquiza,495.0,1018.0,0.4862,79,2,25,10,5,0.0776,0.9232,0.0691
2026-04-01,Caballito,734.0,1133.0,0.6478,52,2,10,1,5,0.0459,0.9425,0.0469
2026-04-01,Scalabrini,870.0,1283.0,0.6781,66,5,25,1,10,0.0514,0.954,0.0291
2026-04-01,Vicente Lopez,932.0,1286.0,0.7247,57,1,19,7,3,0.0443,0.9541,0.0499
2026-04-01,Villa Urquiza,492.0,856.0,0.5748,59,1,18,1,5,0.0689,0.9632,0.0708
2026-05-01,Caballito,763.0,1474.0,0.5176,156,6,19,7,13,0.1058,0.8804,0.1018
2026-05-01,Scalabrini,1346.0,1847.0,0.7287,97,3,26,8,5,0.0525,0.9207,0.0396
2026-05-01,Vicente Lopez,1365.0,1798.0,0.7592,93,2,23,8,5,0.0517,0.9777,0.0497
2026-05-01,Villa Urquiza,590.0,1173.0,0.503,105,7,27,3,17,0.0895,0.9291,0.0718
2026-06-01,Caballito,428.0,721.0,0.5936,32,0,10,1,1,0.0444,0.9067,0.0493
2026-06-01,Scalabrini,698.0,916.0,0.762,18,0,4,0,1,0.0197,0.9516,0.0222
2026-06-01,Vicente Lopez,634.0,836.0,0.7584,29,0,12,1,0,0.0347,0.9781,0.042
2026-06-01,Villa Urquiza,325.0,556.0,0.5845,29,0,7,1,4,0.0522,0.9655,0.0625
