Mes,Tienda,NPS_Score,Total_Responses,Promotores,Neutros,Detractores
2025-12-01,,26.0,194,109,26,59
2025-12-01,Caballito,23.0,47,25,8,14
2025-12-01,Scalabrini,14.0,69,36,7,26
2025-12-01,Vicente Lopez,29.0,52,31,5,16
2025-12-01,Villa Urquiza,54.0,26,17,6,3
2026-01-01,,39.0,166,105,20,41
2026-01-01,Caballito,43.0,42,27,6,9
2026-01-01,Scalabrini,48.0,40,28,3,9
2026-01-01,Vicente Lopez,19.0,43,24,3,16
2026-01-01,Villa Urquiza,46.0,41,26,8,7
2026-02-01,,20.0,244,133,28,83
2026-02-01,Caballito,19.0,67,36,8,23
2026-02-01,Scalabrini,25.0,65,36,9,20
2026-02-01,Vicente Lopez,-5.0,65,29,4,32
2026-02-01,Villa Urquiza,51.0,47,32,7,8
2026-03-01,,15.0,334,171,43,120
2026-03-01,Caballito,5.0,98,45,13,40
2026-03-01,Scalabrini,9.0,86,41,12,33
2026-03-01,Vicente Lopez,27.0,86,50,9,27
2026-03-01,Villa Urquiza,23.0,64,35,9,20
2026-04-01,,29.0,704,404,98,202
2026-04-01,Caballito,22.0,183,98,27,58
2026-04-01,Scalabrini,31.0,199,118,25,56
2026-04-01,Vicente Lopez,34.0,188,113,25,50
2026-04-01,Villa Urquiza,28.0,134,75,21,38
