Mes,TGMV,NMV,Net_Variable_Fee,Net_Monetization,Product_Net_Monetization,Variable_Contribution,Direct_Contribution,Shipping_Cost,Promotions,Coupons
202510,10528449,12394442,874090,1124226,874090,-34802,-152637,-644971,0,0
202511,57103789,62822174,4744259,5650241,4734555,799246,223030,-3042562,-9703,-9703
202512,171803278,195284782,14712329,18443530,14705136,3662391,1269148,-9056799,-7193,-7193
202601,177394590,198499661,14631154,18099905,14586425,3762669,2212903,-9535067,-44728,-44728
202602,244905554,275982743,20533096,25618357,20520570,3002760,184903,-13914682,-12526,-12526
202603,311412314,365088928,26351732,32709103,26327186,2667617,-12790,-17661876,-24546,-24546
202604,250762770,276320558,19253105,26189736,19245031,-543544,-4304195,-14331634,-8073,-8073
202605,374045268,416655189,28419028,35087890,24751212,-1771370,-5618351,-20115495,-3667817,-3667817
202606,333291668,359211912,24822275,29980920,23967983,101965,-3144195,-16736120,-854293,-854293
202607,348863248,385736004,25818008,32504343,25262627,-1665863,-5543768,-17640328,-555381,-555381
202608,232996000,256452369,17610216,23442612,17607644,284083,-1828186,-11208958,-2573,-2573
