MONTH_FINAL,UE_SUPERMARKET_MODEL,UE_SUPER_PARTNER_FLG,rows_count
202510,,,1333
202510,,false,2123435
202510,,true,1734
202511,,,1452
202511,,false,10647
202511,,true,2
202511,DRY,false,2392837
202511,INSTORE,true,7799
202511,NO_SUPER,false,24518824
202512,,,1323
202512,,false,34067
202512,DRY,false,2123118
202512,INSTORE,true,20077
202512,NO_SUPER,false,27704065
202601,,,1317
202601,,false,24063
202601,,true,20
202601,DRY,false,2061729
202601,INSTORE,true,22912
202601,NO_SUPER,false,25524977
202602,,,1348
202602,,false,9376
202602,DRY,false,1850742
202602,INSTORE,true,30923
202602,NO_SUPER,false,23531638
202603,,,1366
202603,,false,8785
202603,DRY,false,2104037
202603,INSTORE,true,40936
202603,NO_SUPER,false,26542682
202604,,,1339
202604,,false,139
202604,DRY,false,1678286
202604,INSTORE,true,30133
202604,NO_SUPER,false,21651055
