Fecha,Dia,NMV_V2,NSI_V2,NMV_4+8,NSI_4+8,Purchases_4+8
2026-03-01,domingo,7338455.0,1889.0,6765813.0,1724.0,115.0
2026-03-02,lunes,13007602.0,3348.0,11992578.0,3056.0,204.0
2026-03-03,martes,12953404.0,3334.0,11942609.0,3043.0,203.0
2026-03-04,miércoles,11869437.0,3055.0,10943227.0,2789.0,186.0
2026-03-05,jueves,9224558.0,2374.0,8504736.0,2167.0,144.0
2026-03-06,viernes,12357222.0,3181.0,11392949.0,2903.0,194.0
2026-03-07,sábado,9127001.0,2349.0,8414792.0,2144.0,143.0
2026-03-08,domingo,7338455.0,1889.0,6765813.0,1724.0,115.0
2026-03-09,lunes,13007602.0,3348.0,11992578.0,3056.0,204.0
2026-03-10,martes,12953404.0,3334.0,11942609.0,3043.0,203.0
2026-03-11,miércoles,11869437.0,3055.0,10943227.0,2789.0,186.0
2026-03-12,jueves,9224558.0,2374.0,8504736.0,2167.0,144.0
2026-03-13,viernes,12357222.0,3181.0,11392949.0,2903.0,194.0
2026-03-14,sábado,9127001.0,2349.0,8414792.0,2144.0,143.0
2026-03-15,domingo,7338455.0,1889.0,6765813.0,1724.0,115.0
2026-03-16,lunes,13007602.0,3348.0,11992578.0,3056.0,204.0
2026-03-17,martes,12953404.0,3334.0,11942609.0,3043.0,203.0
2026-03-18,miércoles,11869437.0,3055.0,10943227.0,2789.0,186.0
2026-03-19,jueves,9224558.0,2374.0,8504736.0,2167.0,144.0
2026-03-20,viernes,12357222.0,3181.0,11392949.0,2903.0,194.0
2026-03-21,sábado,9127001.0,2349.0,8414792.0,2144.0,143.0
2026-03-22,domingo,7338455.0,1889.0,6765813.0,1724.0,115.0
2026-03-23,lunes,10952401.0,2819.0,10097751.0,2573.0,172.0
2026-03-24,martes,10906766.0,2807.0,10055677.0,2563.0,171.0
2026-03-25,miércoles,11869437.0,3055.0,10943227.0,2789.0,186.0
2026-03-26,jueves,9224558.0,2374.0,8504736.0,2167.0,144.0
2026-03-27,viernes,12357222.0,3181.0,11392949.0,2903.0,194.0
2026-03-28,sábado,9127001.0,2349.0,8414792.0,2144.0,143.0
2026-03-29,domingo,7338455.0,1889.0,6765813.0,1724.0,115.0
2026-03-30,lunes,13007602.0,3348.0,11992578.0,3056.0,204.0
2026-03-31,martes,12953404.0,3334.0,11942609.0,3043.0,203.0
2026-04-01,miércoles,10458258.0,2649.0,7295382.0,1848.0,123.0
2026-04-02,jueves,8127833.0,2059.0,5669744.0,1436.0,96.0
2026-04-03,viernes,10888049.0,2758.0,7595192.0,1924.0,128.0
2026-04-04,sábado,9550921.0,2420.0,6662449.0,1688.0,113.0
2026-04-05,domingo,7679303.0,1945.0,5356862.0,1357.0,90.0
2026-04-06,lunes,13611763.0,3448.0,9495177.0,2405.0,160.0
2026-04-07,martes,13555048.0,3434.0,9455614.0,2395.0,160.0
2026-04-08,miércoles,12793356.0,3241.0,8924280.0,2261.0,151.0
2026-04-09,jueves,9942599.0,2519.0,6935673.0,1757.0,117.0
2026-04-10,viernes,13319110.0,3374.0,9291031.0,2354.0,157.0
2026-04-11,sábado,9837448.0,2492.0,6862323.0,1738.0,116.0
2026-04-12,domingo,7909682.0,2004.0,5517568.0,1398.0,93.0
2026-04-13,lunes,14020116.0,3552.0,9780032.0,2478.0,165.0
2026-04-14,martes,13961699.0,3537.0,9739282.0,2467.0,164.0
2026-04-15,miércoles,13177157.0,3338.0,9192008.0,2329.0,155.0
2026-04-16,jueves,10240877.0,2594.0,7143743.0,1810.0,121.0
2026-04-17,viernes,13718684.0,3475.0,9569762.0,2424.0,162.0
2026-04-18,sábado,10132572.0,2567.0,7068192.0,1791.0,119.0
2026-04-19,domingo,8146973.0,2064.0,5683095.0,1440.0,96.0
2026-04-20,lunes,14440720.0,3658.0,10073433.0,2552.0,170.0
2026-04-21,martes,14380550.0,3643.0,10031461.0,2541.0,169.0
2026-04-22,miércoles,13572471.0,3438.0,9467768.0,2399.0,160.0
2026-04-23,jueves,10548103.0,2672.0,7358056.0,1864.0,124.0
2026-04-24,viernes,14130244.0,3580.0,9856855.0,2497.0,166.0
