,ene-26,feb-26,mar-26,abr-26,may-26,jun-26,jul-26,ago-26,sep-26,oct-26,nov-26,dic-26,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMV  - Plan Original,350.000.000,400.000.000,456.998.496,479.848.421,503.840.842,525.058.857,813.841.229,1.017.301.536,1.452.441.781,1.510.539.452,2.039.228.260,1.688.331.443,11.237.430.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMV  - Plan V2,175.439.531,196.000.000,332.708.333,349.784.967,458.410.548,475.233.128,618.258.889,710.221.161,609.712.863,772.089.722,1.273.391.997,1.848.246.429,7.819.497.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4+8,175.799.372,196.000.000,332.708.333,244.000.000,324.975.405,359.972.757,469.964.432,509.961.405,609.953.838,879.933.405,1.599.878.918,2.116.349.703,7.819.497.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plan V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plan 4+8,,,,,,,,,,,,,,,,,,
,,,,886.551.363,217.974,712.407.345,175.157,585.757.150,144.018,759.901.168,186.835,2.944.617.026,723.984,,,,,,,,,,,,,,,,,,,,,,637.289.168,156.657,10.443,642.104.085,157.848,10.526,417.226.276,102.530,6.838,519.000.534,127.528,8.501,2.215.620.052,544.554,36.305
Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Vilo NMV,Vilo NSI,VUrq NMV,VUrq NSI,Caballito NMV,Caballito NSI,Total NMV,Total NSI,,,Mes,,,,,,,,Mes,Fecha,Scala NMV,Vilo NMV,VUrq NMV,Caballito NMV,,Dia,Mes,Fecha,Semana,Scala NMV,Scala NSI,Scala Purchases,Vilo NMV,Vilo NSI,Vilo Purchases,VUrq NMV,VUrq NSI,VUrq Purchases,Caballito NMV,Caballito NSI,Caballito Purchases,Total NMV,Total NSI,Total Purchases
domingo,3,1-mar,10,2.209.427,569,1.775.433,457,1.459.800,376,1.893.795,487,7.338.455,1.889,,Valores,3,4,5,6,7,8,Suma total,,3,1-mar,2%,2%,2%,2%,,domingo,3,1-mar,10,2.001.176,510,34,2.019.243,515,34,1.245.337,317,21,1.500.056,382,25,6.765.813,1.724,115
lunes,3,2-mar,10,3.916.267,1.008,3.147.000,810,2.587.534,666,3.356.800,864,13.007.602,3.348,,SUM de Scala NMV,"100.170.250,7","105.311.602,9","138.016.078,9","143.080.941,9","186.142.461,2","213.830.026,9","886.551.362,5",,3,2-mar,4%,4%,4%,4%,,lunes,3,2-mar,10,3.547.137,904,60,3.579.161,912,61,2.207.392,563,38,2.658.889,678,45,11.992.578,3.056,204
martes,3,3-mar,10,3.899.949,1.004,3.133.888,807,2.576.752,663,3.342.814,860,12.953.404,3.334,,SUM de Vilo NMV,80.493.951,84.625.395,110.905.778,114.975.757,149.578.763,171.827.700,712.407.345,,3,3-mar,4%,4%,4%,4%,,martes,3,3-mar,10,3.532.357,900,60,3.564.248,908,61,2.198.194,560,37,2.647.810,675,45,11.942.609,3.043,203
