Semana,NMV_V2,NSI_V2,NMV_4+8,NSI_4+8,Purchases_4+8
2026-03-01,75877679,19530,69956704,17826,1189
2026-03-08,75877679,19530,69956704,17826,1189
2026-03-15,75877679,19530,69956704,17826,1189
2026-03-22,71775840,18474,66174945,16863,1125
2026-03-29,72324522,18457,57923767,14719,982
2026-04-05,80738627,20453,56320960,14267,951
2026-04-12,83160787,21067,58010587,14697,979
2026-04-19,85655610,21699,59750906,15137,1008
2026-04-26,84578007,21334,59264401,14950,998
2026-05-03,92329211,23022,65453823,16320,1087
2026-05-10,131201229,32713,93010889,23192,1547
2026-05-17,103419913,25787,73316218,18282,1218
2026-05-24,98203168,24486,69617976,17359,1157
2026-05-31,105421115,25910,79373030,19498,1299
2026-06-07,108746555,26689,82371777,20206,1346
2026-06-14,104271200,25543,78981849,19375,1292
2026-06-21,115392002,28313,87405474,21441,1429
2026-06-28,126573973,30773,96076918,23353,1557
2026-07-05,126801401,30629,96387046,23282,1552
2026-07-12,140520167,33942,106815254,25801,1722
2026-07-19,144735774,34961,110019713,26576,1772
2026-07-26,149295926,36010,112712001,27188,1813
2026-08-02,155393717,37090,111577635,26632,1775
2026-08-09,160055528,38203,114924965,27431,1829
2026-08-16,160465844,38301,115219587,27501,1833
2026-08-23,169802910,40529,121923896,29102,1940
2026-08-30,46120967,11009,33116323,7904,527
