Mes,TIENDA,Segmento,Rango_edad,MABs
2025-10-01,Scalabrini,BRONZE,18 - 24,4
2025-10-01,Scalabrini,BRONZE,30 - 34,2
2025-10-01,Scalabrini,BRONZE,35 - 39,3
2025-10-01,Scalabrini,BRONZE,40 - 44,4
2025-10-01,Scalabrini,BRONZE,45 - 49,2
2025-10-01,Scalabrini,BRONZE,50 - 54,3
2025-10-01,Scalabrini,BRONZE,55 - 59,2
2025-10-01,Scalabrini,BRONZE,60 - 64,1
2025-10-01,Scalabrini,BRONZE,65 - 69,1
2025-10-01,Scalabrini,BRONZE,70 y más,1
2025-10-01,Scalabrini,BRONZE,Outliers,1
2025-10-01,Scalabrini,BRONZE,Sin clasificación,2
2025-10-01,Scalabrini,GOLD,25 - 29,3
2025-10-01,Scalabrini,GOLD,30 - 34,9
2025-10-01,Scalabrini,GOLD,35 - 39,1
2025-10-01,Scalabrini,GOLD,40 - 44,7
2025-10-01,Scalabrini,GOLD,45 - 49,10
2025-10-01,Scalabrini,GOLD,50 - 54,5
2025-10-01,Scalabrini,GOLD,55 - 59,2
2025-10-01,Scalabrini,GOLD,65 - 69,2
2025-10-01,Scalabrini,GOLD,70 y más,5
2025-10-01,Scalabrini,PLATINUM,18 - 24,1
2025-10-01,Scalabrini,PLATINUM,25 - 29,5
2025-10-01,Scalabrini,PLATINUM,30 - 34,4
2025-10-01,Scalabrini,PLATINUM,35 - 39,10
2025-10-01,Scalabrini,PLATINUM,40 - 44,10
2025-10-01,Scalabrini,PLATINUM,45 - 49,8
2025-10-01,Scalabrini,PLATINUM,50 - 54,11
2025-10-01,Scalabrini,PLATINUM,55 - 59,9
2025-10-01,Scalabrini,PLATINUM,60 - 64,4
2025-10-01,Scalabrini,PLATINUM,65 - 69,3
2025-10-01,Scalabrini,PLATINUM,70 y más,9
2025-10-01,Scalabrini,SELLER,18 - 24,1
2025-10-01,Scalabrini,SELLER,25 - 29,1
2025-10-01,Scalabrini,SELLER,30 - 34,1
2025-10-01,Scalabrini,SELLER,35 - 39,1
2025-10-01,Scalabrini,SELLER,40 - 44,3
2025-10-01,Scalabrini,SELLER,45 - 49,1
2025-10-01,Scalabrini,SELLER,50 - 54,3
2025-10-01,Scalabrini,SELLER,55 - 59,2
2025-10-01,Scalabrini,SELLER,60 - 64,1
2025-10-01,Scalabrini,SELLER,65 - 69,2
2025-10-01,Scalabrini,SELLER,Sin clasificación,8
2025-10-01,Scalabrini,SILVER,25 - 29,2
2025-10-01,Scalabrini,SILVER,30 - 34,2
2025-10-01,Scalabrini,SILVER,35 - 39,2
2025-10-01,Scalabrini,SILVER,40 - 44,4
2025-10-01,Scalabrini,SILVER,50 - 54,3
2025-10-01,Scalabrini,SILVER,65 - 69,1
2025-10-01,Scalabrini,SILVER,70 y más,1
2025-10-01,Scalabrini,SILVER,Sin clasificación,5
2025-11-01,Scalabrini,BRONZE,18 - 24,16
2025-11-01,Scalabrini,BRONZE,25 - 29,9
2025-11-01,Scalabrini,BRONZE,30 - 34,11
2025-11-01,Scalabrini,BRONZE,35 - 39,5
2025-11-01,Scalabrini,BRONZE,40 - 44,3
2025-11-01,Scalabrini,BRONZE,45 - 49,5
2025-11-01,Scalabrini,BRONZE,50 - 54,5
2025-11-01,Scalabrini,BRONZE,55 - 59,6
2025-11-01,Scalabrini,BRONZE,65 - 69,2
2025-11-01,Scalabrini,BRONZE,70 y más,4
2025-11-01,Scalabrini,BRONZE,Outliers,1
2025-11-01,Scalabrini,BRONZE,Sin clasificación,2
2025-11-01,Scalabrini,GOLD,18 - 24,6
2025-11-01,Scalabrini,GOLD,25 - 29,7
2025-11-01,Scalabrini,GOLD,30 - 34,8
2025-11-01,Scalabrini,GOLD,35 - 39,14
2025-11-01,Scalabrini,GOLD,40 - 44,14
2025-11-01,Scalabrini,GOLD,45 - 49,16
2025-11-01,Scalabrini,GOLD,50 - 54,19
2025-11-01,Scalabrini,GOLD,55 - 59,9
2025-11-01,Scalabrini,GOLD,60 - 64,9
2025-11-01,Scalabrini,GOLD,65 - 69,7
2025-11-01,Scalabrini,GOLD,70 y más,14
2025-11-01,Scalabrini,GOLD,Sin clasificación,1
2025-11-01,Scalabrini,MENOR_EDAD,13 - 17,1
2025-11-01,Scalabrini,NA,Sin clasificación,1
2025-11-01,Scalabrini,PLATINUM,18 - 24,4
2025-11-01,Scalabrini,PLATINUM,25 - 29,3
2025-11-01,Scalabrini,PLATINUM,30 - 34,25
2025-11-01,Scalabrini,PLATINUM,35 - 39,24
2025-11-01,Scalabrini,PLATINUM,40 - 44,36
2025-11-01,Scalabrini,PLATINUM,45 - 49,29
2025-11-01,Scalabrini,PLATINUM,50 - 54,29
2025-11-01,Scalabrini,PLATINUM,55 - 59,20
2025-11-01,Scalabrini,PLATINUM,60 - 64,12
2025-11-01,Scalabrini,PLATINUM,65 - 69,11
2025-11-01,Scalabrini,PLATINUM,70 y más,9
2025-11-01,Scalabrini,PLATINUM,Sin clasificación,1
2025-11-01,Scalabrini,SELLER,18 - 24,4
2025-11-01,Scalabrini,SELLER,25 - 29,2
2025-11-01,Scalabrini,SELLER,30 - 34,2
2025-11-01,Scalabrini,SELLER,35 - 39,5
2025-11-01,Scalabrini,SELLER,40 - 44,5
2025-11-01,Scalabrini,SELLER,45 - 49,3
2025-11-01,Scalabrini,SELLER,50 - 54,5
2025-11-01,Scalabrini,SELLER,55 - 59,5
2025-11-01,Scalabrini,SELLER,60 - 64,3
2025-11-01,Scalabrini,SELLER,70 y más,1
2025-11-01,Scalabrini,SELLER,Sin clasificación,20
2025-11-01,Scalabrini,SILVER,18 - 24,2
2025-11-01,Scalabrini,SILVER,25 - 29,8
2025-11-01,Scalabrini,SILVER,30 - 34,6
2025-11-01,Scalabrini,SILVER,35 - 39,8
2025-11-01,Scalabrini,SILVER,40 - 44,13
2025-11-01,Scalabrini,SILVER,45 - 49,2
2025-11-01,Scalabrini,SILVER,50 - 54,3
2025-11-01,Scalabrini,SILVER,55 - 59,2
2025-11-01,Scalabrini,SILVER,60 - 64,1
2025-11-01,Scalabrini,SILVER,65 - 69,4
2025-11-01,Scalabrini,SILVER,70 y más,5
2025-11-01,Scalabrini,SILVER,Sin clasificación,13
2025-11-01,Vicente Lopez,BRONZE,18 - 24,6
2025-11-01,Vicente Lopez,BRONZE,25 - 29,4
2025-11-01,Vicente Lopez,BRONZE,30 - 34,4
2025-11-01,Vicente Lopez,BRONZE,35 - 39,3
2025-11-01,Vicente Lopez,BRONZE,45 - 49,2
2025-11-01,Vicente Lopez,BRONZE,50 - 54,3
2025-11-01,Vicente Lopez,BRONZE,55 - 59,2
2025-11-01,Vicente Lopez,BRONZE,60 - 64,4
2025-11-01,Vicente Lopez,BRONZE,65 - 69,1
2025-11-01,Vicente Lopez,BRONZE,70 y más,2
2025-11-01,Vicente Lopez,GOLD,18 - 24,1
2025-11-01,Vicente Lopez,GOLD,25 - 29,5
2025-11-01,Vicente Lopez,GOLD,30 - 34,6
2025-11-01,Vicente Lopez,GOLD,35 - 39,11
2025-11-01,Vicente Lopez,GOLD,40 - 44,13
2025-11-01,Vicente Lopez,GOLD,45 - 49,12
2025-11-01,Vicente Lopez,GOLD,50 - 54,7
2025-11-01,Vicente Lopez,GOLD,55 - 59,3
2025-11-01,Vicente Lopez,GOLD,60 - 64,6
2025-11-01,Vicente Lopez,GOLD,65 - 69,6
2025-11-01,Vicente Lopez,GOLD,70 y más,12
2025-11-01,Vicente Lopez,GOLD,Sin clasificación,1
2025-11-01,Vicente Lopez,MENOR_EDAD,13 - 17,1
2025-11-01,Vicente Lopez,PLATINUM,18 - 24,2
2025-11-01,Vicente Lopez,PLATINUM,25 - 29,5
2025-11-01,Vicente Lopez,PLATINUM,30 - 34,20
2025-11-01,Vicente Lopez,PLATINUM,35 - 39,20
2025-11-01,Vicente Lopez,PLATINUM,40 - 44,31
2025-11-01,Vicente Lopez,PLATINUM,45 - 49,31
2025-11-01,Vicente Lopez,PLATINUM,50 - 54,24
2025-11-01,Vicente Lopez,PLATINUM,55 - 59,15
2025-11-01,Vicente Lopez,PLATINUM,60 - 64,11
2025-11-01,Vicente Lopez,PLATINUM,65 - 69,5
2025-11-01,Vicente Lopez,PLATINUM,70 y más,4
2025-11-01,Vicente Lopez,SELLER,25 - 29,1
2025-11-01,Vicente Lopez,SELLER,30 - 34,2
2025-11-01,Vicente Lopez,SELLER,35 - 39,6
2025-11-01,Vicente Lopez,SELLER,40 - 44,2
2025-11-01,Vicente Lopez,SELLER,50 - 54,3
2025-11-01,Vicente Lopez,SELLER,55 - 59,1
2025-11-01,Vicente Lopez,SELLER,70 y más,2
2025-11-01,Vicente Lopez,SELLER,Sin clasificación,17
2025-11-01,Vicente Lopez,SILVER,18 - 24,2
2025-11-01,Vicente Lopez,SILVER,25 - 29,2
2025-11-01,Vicente Lopez,SILVER,30 - 34,1
2025-11-01,Vicente Lopez,SILVER,35 - 39,4
2025-11-01,Vicente Lopez,SILVER,40 - 44,2
2025-11-01,Vicente Lopez,SILVER,45 - 49,2
2025-11-01,Vicente Lopez,SILVER,50 - 54,4
2025-11-01,Vicente Lopez,SILVER,55 - 59,2
2025-11-01,Vicente Lopez,SILVER,60 - 64,4
2025-11-01,Vicente Lopez,SILVER,70 y más,8
2025-11-01,Vicente Lopez,SILVER,Sin clasificación,10
2025-12-01,Caballito,BRONZE,18 - 24,14
2025-12-01,Caballito,BRONZE,25 - 29,8
2025-12-01,Caballito,BRONZE,30 - 34,8
2025-12-01,Caballito,BRONZE,35 - 39,1
2025-12-01,Caballito,BRONZE,40 - 44,7
2025-12-01,Caballito,BRONZE,45 - 49,12
2025-12-01,Caballito,BRONZE,50 - 54,1
2025-12-01,Caballito,BRONZE,55 - 59,3
2025-12-01,Caballito,BRONZE,60 - 64,2
2025-12-01,Caballito,BRONZE,65 - 69,3
2025-12-01,Caballito,BRONZE,70 y más,3
2025-12-01,Caballito,BRONZE,Sin clasificación,2
2025-12-01,Caballito,GOLD,18 - 24,6
2025-12-01,Caballito,GOLD,25 - 29,16
2025-12-01,Caballito,GOLD,30 - 34,18
2025-12-01,Caballito,GOLD,35 - 39,22
2025-12-01,Caballito,GOLD,40 - 44,24
2025-12-01,Caballito,GOLD,45 - 49,25
2025-12-01,Caballito,GOLD,50 - 54,22
2025-12-01,Caballito,GOLD,55 - 59,17
2025-12-01,Caballito,GOLD,60 - 64,10
