Mes,Segmento,Rango_edad,Genero,MABs
2025-10-01,BRONZE,18 - 24,female,4
2025-10-01,BRONZE,30 - 34,female,2
2025-10-01,BRONZE,35 - 39,female,2
2025-10-01,BRONZE,35 - 39,male,1
2025-10-01,BRONZE,40 - 44,female,4
2025-10-01,BRONZE,45 - 49,female,1
2025-10-01,BRONZE,45 - 49,male,1
2025-10-01,BRONZE,50 - 54,female,2
2025-10-01,BRONZE,50 - 54,male,1
2025-10-01,BRONZE,55 - 59,male,2
2025-10-01,BRONZE,60 - 64,female,1
2025-10-01,BRONZE,65 - 69,male,1
2025-10-01,BRONZE,70 y más,female,1
2025-10-01,BRONZE,Outliers,unknown,1
2025-10-01,BRONZE,Sin clasificación,female,2
2025-10-01,GOLD,25 - 29,female,2
2025-10-01,GOLD,25 - 29,male,1
2025-10-01,GOLD,30 - 34,female,6
2025-10-01,GOLD,30 - 34,male,3
2025-10-01,GOLD,35 - 39,female,1
2025-10-01,GOLD,40 - 44,female,3
2025-10-01,GOLD,40 - 44,male,4
2025-10-01,GOLD,45 - 49,female,8
2025-10-01,GOLD,45 - 49,male,2
2025-10-01,GOLD,50 - 54,female,4
2025-10-01,GOLD,50 - 54,male,1
2025-10-01,GOLD,55 - 59,female,1
2025-10-01,GOLD,55 - 59,male,1
2025-10-01,GOLD,65 - 69,female,2
2025-10-01,GOLD,70 y más,female,4
2025-10-01,GOLD,70 y más,male,1
2025-10-01,PLATINUM,18 - 24,male,1
2025-10-01,PLATINUM,25 - 29,female,1
2025-10-01,PLATINUM,25 - 29,male,4
2025-10-01,PLATINUM,30 - 34,female,3
2025-10-01,PLATINUM,30 - 34,male,1
2025-10-01,PLATINUM,35 - 39,female,7
2025-10-01,PLATINUM,35 - 39,male,3
2025-10-01,PLATINUM,40 - 44,female,7
2025-10-01,PLATINUM,40 - 44,male,3
2025-10-01,PLATINUM,45 - 49,female,3
2025-10-01,PLATINUM,45 - 49,male,5
2025-10-01,PLATINUM,50 - 54,female,5
2025-10-01,PLATINUM,50 - 54,male,6
2025-10-01,PLATINUM,55 - 59,female,6
2025-10-01,PLATINUM,55 - 59,male,3
2025-10-01,PLATINUM,60 - 64,female,2
2025-10-01,PLATINUM,60 - 64,male,2
2025-10-01,PLATINUM,65 - 69,female,3
2025-10-01,PLATINUM,70 y más,female,3
2025-10-01,PLATINUM,70 y más,male,6
2025-10-01,SELLER,18 - 24,male,1
2025-10-01,SELLER,25 - 29,female,1
2025-10-01,SELLER,30 - 34,female,1
2025-10-01,SELLER,35 - 39,female,1
2025-10-01,SELLER,40 - 44,male,3
2025-10-01,SELLER,45 - 49,male,1
2025-10-01,SELLER,50 - 54,female,1
2025-10-01,SELLER,50 - 54,male,2
2025-10-01,SELLER,55 - 59,female,1
2025-10-01,SELLER,55 - 59,male,1
2025-10-01,SELLER,60 - 64,male,1
2025-10-01,SELLER,65 - 69,male,2
2025-10-01,SELLER,Sin clasificación,,8
2025-10-01,SILVER,25 - 29,female,2
2025-10-01,SILVER,30 - 34,female,1
2025-10-01,SILVER,30 - 34,male,1
2025-10-01,SILVER,35 - 39,female,1
2025-10-01,SILVER,35 - 39,male,1
2025-10-01,SILVER,40 - 44,female,4
2025-10-01,SILVER,50 - 54,female,3
2025-10-01,SILVER,65 - 69,female,1
2025-10-01,SILVER,70 y más,male,1
2025-10-01,SILVER,Sin clasificación,,5
2025-11-01,BRONZE,18 - 24,female,15
2025-11-01,BRONZE,18 - 24,male,7
2025-11-01,BRONZE,25 - 29,female,9
2025-11-01,BRONZE,25 - 29,male,4
2025-11-01,BRONZE,30 - 34,female,8
2025-11-01,BRONZE,30 - 34,male,7
2025-11-01,BRONZE,35 - 39,female,3
2025-11-01,BRONZE,35 - 39,male,4
2025-11-01,BRONZE,35 - 39,unknown,1
2025-11-01,BRONZE,40 - 44,female,2
2025-11-01,BRONZE,40 - 44,male,1
2025-11-01,BRONZE,45 - 49,female,6
2025-11-01,BRONZE,45 - 49,male,1
2025-11-01,BRONZE,50 - 54,female,7
2025-11-01,BRONZE,50 - 54,male,1
2025-11-01,BRONZE,55 - 59,female,5
2025-11-01,BRONZE,55 - 59,male,3
2025-11-01,BRONZE,60 - 64,female,3
2025-11-01,BRONZE,60 - 64,male,1
2025-11-01,BRONZE,65 - 69,female,2
2025-11-01,BRONZE,65 - 69,male,1
2025-11-01,BRONZE,70 y más,female,4
2025-11-01,BRONZE,70 y más,male,2
2025-11-01,BRONZE,Outliers,unknown,1
2025-11-01,BRONZE,Sin clasificación,,1
2025-11-01,BRONZE,Sin clasificación,female,1
2025-11-01,GOLD,18 - 24,female,6
2025-11-01,GOLD,18 - 24,male,1
2025-11-01,GOLD,25 - 29,female,8
2025-11-01,GOLD,25 - 29,male,4
2025-11-01,GOLD,30 - 34,female,6
2025-11-01,GOLD,30 - 34,male,8
2025-11-01,GOLD,35 - 39,female,20
2025-11-01,GOLD,35 - 39,male,5
2025-11-01,GOLD,40 - 44,female,15
2025-11-01,GOLD,40 - 44,male,12
2025-11-01,GOLD,45 - 49,female,21
2025-11-01,GOLD,45 - 49,male,7
2025-11-01,GOLD,50 - 54,female,17
2025-11-01,GOLD,50 - 54,male,9
2025-11-01,GOLD,55 - 59,female,7
2025-11-01,GOLD,55 - 59,male,5
2025-11-01,GOLD,60 - 64,female,12
2025-11-01,GOLD,60 - 64,male,3
2025-11-01,GOLD,65 - 69,female,6
2025-11-01,GOLD,65 - 69,male,7
2025-11-01,GOLD,70 y más,female,16
2025-11-01,GOLD,70 y más,male,10
2025-11-01,GOLD,Sin clasificación,,2
2025-11-01,MENOR_EDAD,13 - 17,female,1
2025-11-01,MENOR_EDAD,13 - 17,male,1
2025-11-01,NA,Sin clasificación,,1
2025-11-01,PLATINUM,18 - 24,female,3
2025-11-01,PLATINUM,18 - 24,male,3
2025-11-01,PLATINUM,25 - 29,female,3
2025-11-01,PLATINUM,25 - 29,male,5
2025-11-01,PLATINUM,30 - 34,female,24
2025-11-01,PLATINUM,30 - 34,male,21
2025-11-01,PLATINUM,35 - 39,female,26
2025-11-01,PLATINUM,35 - 39,male,18
2025-11-01,PLATINUM,40 - 44,female,32
2025-11-01,PLATINUM,40 - 44,male,35
2025-11-01,PLATINUM,45 - 49,female,39
2025-11-01,PLATINUM,45 - 49,male,21
2025-11-01,PLATINUM,50 - 54,female,25
2025-11-01,PLATINUM,50 - 54,male,28
2025-11-01,PLATINUM,55 - 59,female,23
2025-11-01,PLATINUM,55 - 59,male,12
2025-11-01,PLATINUM,60 - 64,female,10
2025-11-01,PLATINUM,60 - 64,male,13
2025-11-01,PLATINUM,65 - 69,female,9
2025-11-01,PLATINUM,65 - 69,male,7
2025-11-01,PLATINUM,70 y más,female,4
2025-11-01,PLATINUM,70 y más,male,9
2025-11-01,PLATINUM,Sin clasificación,male,1
2025-11-01,SELLER,18 - 24,male,4
2025-11-01,SELLER,25 - 29,female,2
2025-11-01,SELLER,25 - 29,male,1
2025-11-01,SELLER,30 - 34,female,3
2025-11-01,SELLER,30 - 34,male,1
2025-11-01,SELLER,35 - 39,female,4
2025-11-01,SELLER,35 - 39,male,7
2025-11-01,SELLER,40 - 44,female,4
2025-11-01,SELLER,40 - 44,male,3
2025-11-01,SELLER,45 - 49,female,2
2025-11-01,SELLER,45 - 49,male,1
2025-11-01,SELLER,50 - 54,female,5
2025-11-01,SELLER,50 - 54,male,3
2025-11-01,SELLER,55 - 59,female,4
2025-11-01,SELLER,55 - 59,male,2
2025-11-01,SELLER,60 - 64,female,2
2025-11-01,SELLER,60 - 64,male,1
2025-11-01,SELLER,70 y más,female,1
2025-11-01,SELLER,70 y más,male,2
2025-11-01,SELLER,Sin clasificación,,36
2025-11-01,SELLER,Sin clasificación,male,1
2025-11-01,SILVER,18 - 24,female,2
2025-11-01,SILVER,18 - 24,male,2
2025-11-01,SILVER,25 - 29,female,8
2025-11-01,SILVER,25 - 29,male,2
2025-11-01,SILVER,30 - 34,female,5
2025-11-01,SILVER,30 - 34,male,2
2025-11-01,SILVER,35 - 39,female,8
2025-11-01,SILVER,35 - 39,male,4
2025-11-01,SILVER,40 - 44,female,10
2025-11-01,SILVER,40 - 44,male,5
2025-11-01,SILVER,45 - 49,female,3
2025-11-01,SILVER,45 - 49,male,1
2025-11-01,SILVER,50 - 54,female,6
2025-11-01,SILVER,50 - 54,male,1
2025-11-01,SILVER,55 - 59,female,4
2025-11-01,SILVER,60 - 64,female,4
2025-11-01,SILVER,60 - 64,male,1
2025-11-01,SILVER,65 - 69,female,3
2025-11-01,SILVER,65 - 69,male,1
2025-11-01,SILVER,70 y más,female,10
2025-11-01,SILVER,70 y más,male,3
2025-11-01,SILVER,Sin clasificación,,17
2025-11-01,SILVER,Sin clasificación,female,4
2025-11-01,SILVER,Sin clasificación,male,1
2025-11-01,SILVER,Sin clasificación,unknown,1
2025-12-01,BRONZE,18 - 24,female,24
2025-12-01,BRONZE,18 - 24,male,20
2025-12-01,BRONZE,25 - 29,female,25
2025-12-01,BRONZE,25 - 29,male,10
2025-12-01,BRONZE,30 - 34,female,20
2025-12-01,BRONZE,30 - 34,male,12
2025-12-01,BRONZE,35 - 39,female,15
2025-12-01,BRONZE,35 - 39,male,5
2025-12-01,BRONZE,40 - 44,female,17
2025-12-01,BRONZE,40 - 44,male,3
2025-12-01,BRONZE,45 - 49,female,24
2025-12-01,BRONZE,45 - 49,male,9
2025-12-01,BRONZE,50 - 54,female,14
2025-12-01,BRONZE,50 - 54,male,5
2025-12-01,BRONZE,55 - 59,female,10
2025-12-01,BRONZE,55 - 59,male,6
2025-12-01,BRONZE,60 - 64,female,15
2025-12-01,BRONZE,60 - 64,male,3
