Semana,TIENDA,Buyers
2026-04-19,Caballito,136
2026-04-19,Scalabrini,160
2026-04-19,Vicente Lopez,134
2026-04-19,Villa Urquiza,98
2026-04-26,Caballito,252
2026-04-26,Scalabrini,305
2026-04-26,Vicente Lopez,272
2026-04-26,Villa Urquiza,195
2026-05-03,Caballito,323
2026-05-03,Scalabrini,456
2026-05-03,Vicente Lopez,395
2026-05-03,Villa Urquiza,246
2026-05-10,Caballito,354
2026-05-10,Scalabrini,503
2026-05-10,Vicente Lopez,509
2026-05-10,Villa Urquiza,309
2026-05-17,Caballito,278
2026-05-17,Scalabrini,343
2026-05-17,Vicente Lopez,372
2026-05-17,Villa Urquiza,218
2026-05-24,Caballito,236
2026-05-24,Scalabrini,293
2026-05-24,Vicente Lopez,295
2026-05-24,Villa Urquiza,212
2026-05-31,Caballito,246
2026-05-31,Scalabrini,345
2026-05-31,Vicente Lopez,301
2026-05-31,Villa Urquiza,199
2026-06-07,Caballito,275
2026-06-07,Scalabrini,314
2026-06-07,Vicente Lopez,282
2026-06-07,Villa Urquiza,176
2026-06-14,Caballito,233
2026-06-14,Scalabrini,340
2026-06-14,Vicente Lopez,313
2026-06-14,Villa Urquiza,218
2026-06-21,Caballito,259
2026-06-21,Scalabrini,324
2026-06-21,Vicente Lopez,338
2026-06-21,Villa Urquiza,227
2026-06-28,Caballito,306
2026-06-28,Scalabrini,382
2026-06-28,Vicente Lopez,341
2026-06-28,Villa Urquiza,247
2026-07-05,Caballito,274
2026-07-05,Scalabrini,349
2026-07-05,Vicente Lopez,315
2026-07-05,Villa Urquiza,209
2026-07-12,Caballito,265
2026-07-12,Scalabrini,316
2026-07-12,Vicente Lopez,277
2026-07-12,Villa Urquiza,192
2026-07-19,Caballito,259
2026-07-19,Scalabrini,289
2026-07-19,Vicente Lopez,251
2026-07-19,Villa Urquiza,196
2026-07-26,Caballito,281
2026-07-26,Scalabrini,318
2026-07-26,Vicente Lopez,275
2026-07-26,Villa Urquiza,206
2026-08-02,Caballito,371
2026-08-02,Scalabrini,466
2026-08-02,Vicente Lopez,354
2026-08-02,Villa Urquiza,271
2026-08-09,Caballito,324
2026-08-09,Scalabrini,412
2026-08-09,Vicente Lopez,354
2026-08-09,Villa Urquiza,230
2026-08-16,Caballito,285
2026-08-16,Scalabrini,342
2026-08-16,Vicente Lopez,304
2026-08-16,Villa Urquiza,196
2026-08-23,Caballito,299
2026-08-23,Scalabrini,402
2026-08-23,Vicente Lopez,364
2026-08-23,Villa Urquiza,218
2026-08-30,Caballito,129
2026-08-30,Scalabrini,203
2026-08-30,Vicente Lopez,171
2026-08-30,Villa Urquiza,94
