Semana,Buyers,Visitors,CVR
2025-10-19,83,12587,0.0066
2025-10-26,124,12036,0.0103
2025-11-02,184,16363,0.0112
2025-11-09,248,5171,0.048
2025-11-16,226,3827,0.0591
2025-11-23,233,6336,0.0368
2025-11-30,414,14320,0.0289
2025-12-07,601,22556,0.0266
2025-12-14,690,16632,0.0415
2025-12-21,705,27190,0.0259
2025-12-28,528,22592,0.0234
2026-01-04,519,18105,0.0287
2026-01-11,687,26779,0.0257
2026-01-18,690,25642,0.0269
2026-01-25,800,27741,0.0288
2026-02-01,949,27557,0.0344
2026-02-08,942,27959,0.0337
2026-02-15,903,52681,0.0171
2026-02-22,1158,35128,0.033
2026-03-01,1060,55618,0.0191
2026-03-08,965,59365,0.0163
2026-03-15,1104,53272,0.0207
2026-03-22,1087,61151,0.0178
2026-03-29,1127,65738,0.0171
2026-04-05,870,51215,0.017
2026-04-12,875,48051,0.0182
2026-04-19,905,25657,0.0353
2026-04-26,659,10463,0.063
