Fecha,Compras,Ordenes,NMV,NMV_USD,NSI,TSIE_total
2025-10-19,85,660,4501278.0,3033.0,1403.0,1412
2025-10-26,134,857,6645666.0,4572.0,1824.0,1837
2025-11-02,190,1347,1.0080689E7,6966.0,3321.0,3334
2025-11-09,257,1797,1.4969819E7,10601.0,4337.0,4354
2025-11-16,236,1481,1.2671232E7,9007.0,3301.0,3313
2025-11-23,249,1789,1.5702884E7,10892.0,4398.0,4420
2025-11-30,440,3206,2.8144031E7,19446.0,7615.0,7664
2025-12-07,638,3844,3.9863852E7,27733.0,9881.0,9953
2025-12-14,750,4082,4.4108584E7,30501.0,11047.0,11168
2025-12-21,761,3954,4.075796E7,28089.0,9666.0,9779
2025-12-28,568,3737,3.0687973E7,21074.0,8732.0,8784
2026-01-04,559,3522,2.9518676E7,20103.0,7889.0,7927
2026-01-11,738,4473,4.0652002E7,27932.0,10749.0,10858
2026-01-18,745,4746,4.4561242E7,31133.0,11001.0,11078
2026-01-25,869,5876,5.0066152E7,34774.0,13919.0,14027
2026-02-01,1012,6136,6.0035275E7,41538.0,15009.0,15126
2026-02-08,1008,6035,5.6766257E7,40236.0,14918.0,15040
2026-02-15,978,6186,5.4479046E7,39111.0,14019.0,14197
2026-02-22,1248,7897,7.0895402E7,51127.0,19320.0,19489
2026-03-01,1165,7367,6.6363405E7,47282.0,18274.0,18404
2026-03-08,1048,6724,6.2758241E7,44637.0,15596.0,15751
2026-03-15,1209,7846,7.0441382E7,50476.0,17726.0,17912
2026-03-22,1192,7277,6.8418485E7,49465.0,16960.0,17183
2026-03-29,1230,7561,6.9515352E7,50047.0,17297.0,17514
2026-04-05,949,5973,5.3652727E7,38669.0,13250.0,13372
2026-04-12,948,5860,5.2759152E7,38720.0,13818.0,13893
2026-04-19,976,6669,5.7802015E7,41867.0,14958.0,15034
2026-04-26,1109,7433,6.8668373E7,49062.0,16682.0,16803
2026-05-03,1507,9769,9.4960202E7,68100.0,23381.0,23593
2026-05-10,1777,11297,1.06339071E8,76365.0,27193.0,27339
2026-05-17,1281,8486,7.7988017E7,55870.0,19898.0,19980
2026-05-24,1101,7671,6.7828981E7,48181.0,17835.0,17918
2026-05-31,1182,8702,7.8514626E7,55095.0,20725.0,20849
2026-06-07,1100,7555,7.0738685E7,49209.0,17842.0,17905
2026-06-14,1171,8096,7.6627645E7,53246.0,18416.0,18494
2026-06-21,1241,8879,7.9797447E7,54288.0,20350.0,20417
2026-06-28,1365,9693,9.1614258E7,61743.0,22448.0,22569
2026-07-05,1239,8304,8.1837744E7,54981.0,19685.0,19823
2026-07-12,494,3181,3.2399833E7,21809.0,7632.0,7666
