Semana,FR_Items,FR_Items_Reemplazo,FR_Compras,FR_Compras_Reemplazo,Compra_Perfecta,On_Time,Cancel_Rate,Cancel_Buyer,Cancel_Stockout,Cancel_Seller,CR_Purchases_total
2025-10-19,0.8416,0.8665,0.4839,0.5699,0.4839,1.0,0.1165,0.0388,0.0583,0.0194,103.0
2025-10-26,0.9431,0.954,0.7536,0.7826,0.7536,0.9398,0.0426,0.0142,0.0071,0.0213,141.0
2025-11-02,0.8942,0.9019,0.6866,0.7264,0.6866,0.9101,0.0718,0.0144,0.0574,0.0,209.0
2025-11-09,0.9292,0.9315,0.7358,0.7547,0.7358,0.9286,0.0509,0.0145,0.0255,0.0109,275.0
2025-11-16,0.9323,0.9388,0.776,0.808,0.776,0.9419,0.0562,0.0281,0.0201,0.008,249.0
2025-11-23,0.9257,0.9319,0.6873,0.7375,0.6873,0.9209,0.0409,0.0186,0.0186,0.0037,269.0
2025-11-30,0.909,0.9177,0.6843,0.7166,0.6843,0.9348,0.0593,0.0212,0.0339,0.0042,472.0
2025-12-07,0.9147,0.9231,0.6642,0.6818,0.6642,0.8458,0.1008,0.058,0.029,0.0138,724.0
2025-12-14,0.9224,0.9304,0.6815,0.717,0.6815,0.8251,0.085,0.0291,0.0388,0.017,824.0
2025-12-21,0.8932,0.9014,0.6655,0.6968,0.6655,0.6447,0.0854,0.0368,0.0451,0.0036,843.0
2025-12-28,0.883,0.8929,0.5781,0.6109,0.5781,0.8186,0.0872,0.0358,0.0436,0.0078,642.0
2026-01-04,0.9141,0.9211,0.6759,0.7071,0.6759,0.9355,0.0564,0.0315,0.0199,0.005,603.0
2026-01-11,0.9066,0.9203,0.6331,0.6822,0.6331,0.9111,0.0658,0.031,0.031,0.0037,806.0
2026-01-18,0.9147,0.928,0.6173,0.6723,0.6173,0.9224,0.0484,0.0186,0.0248,0.005,806.0
2026-01-25,0.9304,0.9428,0.6562,0.7011,0.6562,0.8245,0.035,0.0175,0.0153,0.0022,915.0
2026-02-01,0.9262,0.9325,0.666,0.6944,0.666,0.7436,0.0574,0.0292,0.0264,0.0018,1097.0
2026-02-08,0.9143,0.925,0.657,0.6888,0.657,0.9087,0.0619,0.0309,0.0273,0.0036,1099.0
2026-02-15,0.9084,0.9206,0.6529,0.6861,0.6529,0.8772,0.0447,0.0228,0.0219,0.0,1051.0
2026-02-22,0.9029,0.9141,0.6181,0.6545,0.6181,0.7254,0.0462,0.0235,0.0213,0.0015,1364.0
2026-03-01,0.9096,0.9185,0.6361,0.6613,0.6361,0.8079,0.0501,0.0274,0.0196,0.0031,1277.0
2026-03-08,0.8963,0.9058,0.6256,0.6546,0.6256,0.8322,0.0755,0.0369,0.0223,0.0163,1165.0
2026-03-15,0.8748,0.8884,0.571,0.6065,0.571,0.8278,0.0751,0.0298,0.0402,0.0052,1344.0
2026-03-22,0.8717,0.8868,0.544,0.586,0.544,0.9205,0.0717,0.0317,0.0302,0.0098,1325.0
2026-03-29,0.8886,0.9021,0.5508,0.5925,0.5508,0.9252,0.0711,0.0234,0.0425,0.0051,1365.0
2026-04-05,0.9133,0.9218,0.6355,0.6673,0.6355,0.9235,0.0654,0.0231,0.0394,0.0029,1040.0
2026-04-12,0.9495,0.9563,0.7461,0.775,0.7461,0.9644,0.0338,0.0228,0.0099,0.001,1007.0
2026-04-19,0.9596,0.9642,0.7829,0.8145,0.7829,0.9855,0.0292,0.0204,0.0088,0.0,1028.0
2026-04-26,0.9406,0.9476,0.7251,0.7598,0.7251,0.9039,0.0458,0.0308,0.0133,0.0017,1200.0
2026-05-03,0.9277,0.936,0.703,0.7353,0.703,0.9279,0.0501,0.0311,0.014,0.0049,1638.0
2026-05-10,0.9196,0.927,0.676,0.7055,0.676,0.9417,0.0804,0.0387,0.0326,0.0092,1966.0
2026-05-17,0.9398,0.9468,0.7299,0.7577,0.7299,0.915,0.0597,0.0381,0.0194,0.0029,1391.0
2026-05-24,0.9386,0.9462,0.6938,0.7349,0.6938,0.9705,0.056,0.0314,0.0161,0.0102,1179.0
2026-05-31,0.9453,0.9531,0.7196,0.7473,0.7196,0.9462,0.0319,0.0208,0.0104,8.0E-4,1252.0
2026-06-07,0.9383,0.9426,0.7436,0.7702,0.7436,0.945,0.0527,0.0162,0.0196,0.0179,1176.0
2026-06-14,0.9574,0.9639,0.7834,0.8161,0.7834,0.9512,0.042,0.0202,0.0162,0.0057,1237.0
2026-06-21,0.9479,0.9562,0.7496,0.7875,0.7496,0.9639,0.0426,0.0259,0.0137,0.003,1314.0
2026-06-28,0.942,0.9495,0.7187,0.7538,0.7187,0.8821,0.0467,0.0366,0.0075,0.0027,1476.0
2026-07-05,0.9414,0.9483,0.7271,0.7581,0.7271,0.9445,0.0585,0.039,0.0158,0.0038,1333.0
2026-07-12,0.948,0.9541,0.7459,0.7813,0.7459,0.9014,0.0498,0.0341,0.01,0.0058,1204.0
2026-07-19,0.8353,0.8405,0.5704,0.5979,0.5704,0.9631,0.1606,0.0606,0.0545,0.0455,330.0
