Semana,Tienda,FR_Items,FR_Items_Reemplazo,FR_Compras,Compra_Perfecta,On_Time,Cancel_Rate
2025-10-19,Caballito,,,,,,
2025-10-19,Scalabrini,0.8416,0.8665,0.4839,0.4839,1.0,0.1165
2025-10-19,Vicente Lopez,,,,,,
2025-10-19,Villa Urquiza,,,,,,
2025-10-26,Caballito,,,,,,
2025-10-26,Scalabrini,0.9431,0.954,0.7536,0.7536,0.9398,0.0426
2025-10-26,Vicente Lopez,,,,,,
2025-10-26,Villa Urquiza,,,,,,
2025-11-02,Caballito,,,,,,
2025-11-02,Scalabrini,0.8894,0.8954,0.7248,0.7248,0.9124,0.0987
2025-11-02,Vicente Lopez,0.9093,0.9224,0.5769,0.5769,0.9038,0.0
2025-11-02,Villa Urquiza,,,,,,
2025-11-09,Caballito,,,,,,
2025-11-09,Scalabrini,0.9269,0.9307,0.7778,0.7778,0.9429,0.027
2025-11-09,Vicente Lopez,0.932,0.9325,0.686,0.686,0.9107,0.0787
2025-11-09,Villa Urquiza,,,,,,
2025-11-16,Caballito,,,,,,
2025-11-16,Scalabrini,0.9248,0.9318,0.8042,0.8042,0.9353,0.0426
2025-11-16,Vicente Lopez,0.9428,0.9487,0.7383,0.7383,0.951,0.0741
2025-11-16,Villa Urquiza,,,,,,
2025-11-23,Caballito,,,,,,
2025-11-23,Scalabrini,0.9178,0.9251,0.6828,0.6828,0.8803,0.0455
2025-11-23,Vicente Lopez,0.9371,0.9418,0.693,0.693,0.973,0.0348
2025-11-23,Villa Urquiza,,,,,,
2025-11-30,Caballito,0.9154,0.9271,0.5918,0.5918,0.9574,0.1129
2025-11-30,Scalabrini,0.9134,0.9236,0.6294,0.6294,0.8953,0.0297
2025-11-30,Vicente Lopez,0.9527,0.9581,0.7917,0.7917,0.9648,0.0258
2025-11-30,Villa Urquiza,0.7405,0.7475,0.6818,0.6818,1.0,0.2075
2025-12-07,Caballito,0.893,0.9033,0.5868,0.5868,0.8645,0.1011
2025-12-07,Scalabrini,0.922,0.9329,0.6456,0.6456,0.731,0.0905
2025-12-07,Vicente Lopez,0.9392,0.9414,0.7282,0.7282,0.8814,0.0995
2025-12-07,Villa Urquiza,0.8817,0.8947,0.699,0.699,0.9792,0.125
2025-12-14,Caballito,0.8705,0.878,0.5761,0.5761,0.9809,0.1838
2025-12-14,Scalabrini,0.9482,0.9538,0.7209,0.7209,0.716,0.0443
2025-12-14,Vicente Lopez,0.929,0.9382,0.7198,0.7198,0.75,0.0639
2025-12-14,Villa Urquiza,0.9127,0.9252,0.6906,0.6906,0.9612,0.0671
2025-12-21,Caballito,0.843,0.8526,0.5683,0.5683,0.6986,0.1078
2025-12-21,Scalabrini,0.905,0.9144,0.6953,0.6953,0.6295,0.0868
2025-12-21,Vicente Lopez,0.9251,0.9286,0.7409,0.7409,0.486,0.0676
2025-12-21,Villa Urquiza,0.9067,0.9176,0.6556,0.6556,0.8298,0.0748
2025-12-28,Caballito,0.8329,0.8434,0.5422,0.5422,0.9592,0.1429
2025-12-28,Scalabrini,0.8771,0.8817,0.5529,0.5529,0.7226,0.0675
2025-12-28,Vicente Lopez,0.8947,0.9092,0.6271,0.6271,0.7561,0.0955
2025-12-28,Villa Urquiza,0.9304,0.9405,0.5906,0.5906,0.8548,0.0238
2026-01-04,Caballito,0.8867,0.8971,0.6149,0.6149,0.915,0.0819
2026-01-04,Scalabrini,0.8906,0.8965,0.6587,0.6587,0.9125,0.0511
2026-01-04,Vicente Lopez,0.9454,0.9488,0.7333,0.7333,0.9932,0.0449
2026-01-04,Villa Urquiza,0.9545,0.963,0.7172,0.7172,0.9184,0.04
2026-01-11,Caballito,0.8717,0.8957,0.5315,0.5315,0.9755,0.1048
2026-01-11,Scalabrini,0.9086,0.9168,0.6697,0.6697,0.8873,0.0489
2026-01-11,Vicente Lopez,0.9446,0.9562,0.6804,0.6804,0.8871,0.0505
2026-01-11,Villa Urquiza,0.9127,0.9218,0.6714,0.6714,0.8849,0.0519
2026-01-18,Caballito,0.8832,0.9017,0.5123,0.5123,0.8639,0.0841
2026-01-18,Scalabrini,0.9186,0.9368,0.6132,0.6132,0.9265,0.0304
2026-01-18,Vicente Lopez,0.9439,0.9457,0.7424,0.7424,0.9534,0.0429
2026-01-18,Villa Urquiza,0.9176,0.9308,0.6,0.6,0.9524,0.0329
2026-01-25,Caballito,0.9124,0.9348,0.5672,0.5672,0.8615,0.0478
2026-01-25,Scalabrini,0.9371,0.9463,0.6958,0.6958,0.7519,0.0229
2026-01-25,Vicente Lopez,0.9402,0.9478,0.6991,0.6991,0.8834,0.0294
2026-01-25,Villa Urquiza,0.933,0.9423,0.6626,0.6626,0.8063,0.0427
2026-02-01,Caballito,0.895,0.9048,0.5517,0.5517,0.9058,0.066
2026-02-01,Scalabrini,0.9365,0.9397,0.7199,0.7199,0.5396,0.0411
2026-02-01,Vicente Lopez,0.9305,0.9342,0.716,0.716,0.8072,0.0564
