mes,Tienda,fallo,reason_claim,solu_final,claims
,Caballito,Comprador,PNR,Sin solución,387
,Vicente Lopez,Comprador,PNR,Sin solución,284
,Scalabrini,Comprador,PNR,Sin solución,282
,Villa Urquiza,Comprador,PNR,Sin solución,215
,Caballito,Comprador,PDD,Sin solución,122
,Vicente Lopez,Comprador,PDD,Sin solución,107
,Scalabrini,Comprador,PDD,Sin solución,94
,Caballito,null,PNR,Sin solución,64
,Villa Urquiza,Comprador,PDD,Sin solución,64
,Villa Urquiza,null,PNR,Sin solución,58
,Vicente Lopez,null,PDD,Sin solución,55
,Caballito,null,PDD,Sin solución,51
,Scalabrini,null,PNR,Sin solución,51
,Scalabrini,null,PDD,Sin solución,45
,Vicente Lopez,null,PNR,Sin solución,36
,Villa Urquiza,null,PDD,Sin solución,35
,Vicente Lopez,Ambos,PDD,Sin solución,3
,Caballito,null,PDD,Pedimos al V que resuelva - V debe adjuntar factura,1
,Vicente Lopez,null,PDD,Generamos etiqueta de devolución,1
,Scalabrini,null,PDD,Informamos que la factura no es obligatoria: preguntamos preferencia,1
,Caballito,Ambos,PDD,Sin solución,1
,Scalabrini,null,PDD,Pedimos al V que resuelva - V debe adjuntar factura,1
,Villa Urquiza,null,PDD,Pedimos al V que resuelva - debe enviar productos o partes faltantes,1
,Caballito,null,PDD,Generamos etiqueta de devolución,1
,Villa Urquiza,null,PDD,Pedimos al C que indique los ítems faltantes,1
2025-10-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),6
2025-10-01,Scalabrini,Ambos,PDD,PDD Fotos: pedimos fotos - C debe contactarnos (CP no disponible: condiciones),2
2025-10-01,Scalabrini,Ambos,PDD,Generamos etiqueta de devolución,1
2025-10-01,Scalabrini,Comprador,PDD,Fallamos al C - C devolvió el producto - CP disponible (Auto),1
2025-11-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),6
2025-11-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),4
2025-11-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),3
2025-11-01,Scalabrini,Comprador,PDD,Fallamos al C - C devolvió el producto - CP disponible (Auto),2
2025-11-01,Scalabrini,Ambos,PDD,Fallamos a ambos - Low Cost cubrimos por riesgo bajo,1
2025-11-01,Scalabrini,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),1
2025-11-01,Scalabrini,Ambos,PNR,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),1
2025-11-01,Vicente Lopez,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),1
2025-11-01,Scalabrini,Vendedor,PDD,Fallamos al V - C no confirma devolución sin ME,1
2025-11-01,Scalabrini,Ambos,PDD,Fallamos a ambos - costo de etiqueta de devolución es mayor al costo del producto,1
2025-12-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),35
2025-12-01,Caballito,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),11
2025-12-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),11
2025-12-01,Scalabrini,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),9
2025-12-01,Caballito,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),5
2025-12-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),4
2025-12-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),4
2025-12-01,Scalabrini,Vendedor,PDD,Fallamos al V - PDD Low Cost Fresh - OneTask (Auto),2
2025-12-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),2
2025-12-01,Scalabrini,Ambos,PDD,Fallamos a ambos - costo de etiqueta de devolución es mayor al costo del producto,2
2025-12-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),2
2025-12-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - PDD Low Cost (V) (Auto),2
2025-12-01,Vicente Lopez,Vendedor,PDD,Fallamos al V - pagamos regalo parcial al C - no retiramos del V,2
2025-12-01,Caballito,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),1
2025-12-01,Scalabrini,Ambos,PDD,Sin solución,1
2025-12-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - Low Cost cubrimos por riesgo bajo,1
2025-12-01,Vicente Lopez,Ambos,PDD,Fallo a ambos: Producto menor a 19 USD,1
2025-12-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - costo de etiqueta de devolución es mayor al costo del producto,1
2025-12-01,Scalabrini,Ambos,PDD,Pedimos al V que resuelva - V debe adjuntar factura,1
2025-12-01,Scalabrini,Vendedor,PDD,PDD Fotos: Fallamos al V - C no adjunta fotos (Auto) (V),1
2025-12-01,Caballito,Ambos,PDD,Fallamos ambos - Low Cost 16 USD (arrepentimiento),1
2025-12-01,Vicente Lopez,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),1
2025-12-01,Scalabrini,Comprador,PDD,PDD Fotos: Fallamos al C por producto defectuoso - embalaje (Auto) (V),1
2025-12-01,Scalabrini,Comprador,PNR,Respuestas Ágiles - Fallamos al C - Ambos usuarios riesgo bajo PNR C Flex (Auto) (V),1
2025-12-01,Scalabrini,Ambos,PDD,Fallamos a ambos - Cubrimos al comprador por ítems faltantes,1
2025-12-01,Vicente Lopez,Ambos,PDD,Generamos etiqueta de devolución,1
2025-12-01,Vicente Lopez,Comprador,PNR,Respuestas Ágiles - Fallamos al C - Ambos usuarios riesgo bajo PNR C Flex (Auto) (V),1
2025-12-01,Vicente Lopez,Ambos,PNR,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),1
2025-12-01,Caballito,Ambos,PDD,Fallamos a ambos - reembolso parcial al C (responsabilidad V),1
2025-12-01,Caballito,Vendedor,PDD,Fallamos al V - pagamos regalo parcial al C - no retiramos del V,1
2025-12-01,Vicente Lopez,Vendedor,PNR,Respuestas Ágiles - Fallamos al V - C no responde - PNR C Flex (Auto) (V),1
2025-12-01,Scalabrini,Ambos,PDD,Fallamos a ambos - reembolso parcial al C (responsabilidad V),1
2025-12-01,Caballito,Ambos,PDD,Fallamos a ambos - PDD Low Cost (V) (Auto),1
2025-12-01,Caballito,Ambos,PNR,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),1
2025-12-01,Vicente Lopez,Vendedor,PDD,Modulares: Fallamos al V: Devolución expirada (Auto) (V),1
2025-12-01,Scalabrini,Vendedor,PDD,Fallamos al V - V adjunta factura / factura corregida (PDD),1
2026-01-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),10
2026-01-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),8
2026-01-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),7
2026-01-01,Caballito,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),6
2026-01-01,Caballito,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),5
2026-01-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost (V) (Auto),5
2026-01-01,Vicente Lopez,Vendedor,PDD,Fallamos al V - C prefiere no devolver por factura,5
2026-01-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),3
2026-01-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),2
2026-01-01,Scalabrini,Vendedor,PDD,Fallamos al V - V adjunta factura / factura corregida (PDD),2
2026-01-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),2
2026-01-01,Vicente Lopez,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),2
2026-01-01,Caballito,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),2
2026-01-01,Scalabrini,Ambos,PDD,Fallamos a ambos - costo de etiqueta de devolución es mayor al costo del producto,1
2026-01-01,Villa Urquiza,Vendedor,PDD,Fallamos al V - V adjunta factura / factura corregida (PDD),1
2026-01-01,Vicente Lopez,Comprador,PDD,Fallamos al C: V no retira de sucursal,1
2026-01-01,Villa Urquiza,Vendedor,PDD,Modulares: Fallamos al V: Devolución expirada (Auto) (V),1
2026-01-01,Scalabrini,Ambos,PDD,Fallo a ambos - General KYC (V) (AUTO),1
2026-01-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - PDD Low Cost (V) (Auto),1
2026-01-01,Vicente Lopez,Comprador,PDD,Respuestas Ágiles: Fallamos al C - C devolvió y V no informa problemas con producto/envío (Auto),1
2026-01-01,Caballito,Ambos,PDD,Fallamos a ambos - costo de etiqueta de devolución es mayor al costo del producto,1
2026-01-01,Caballito,Comprador,PDD,Fallamos al C - No recibe producto por responsabilidad del vendedor,1
2026-01-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - reembolso parcial al C (responsabilidad V),1
2026-01-01,Caballito,Vendedor,PDD,Fallamos al V - pagamos regalo parcial al C - no retiramos del V,1
2026-01-01,Scalabrini,Vendedor,PDD,Fallamos al V - C prefiere no devolver por factura,1
2026-01-01,Scalabrini,Vendedor,PDD,Fallamos al V - PDD Low Cost Dry - OneTask (Auto),1
2026-02-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),19
2026-02-01,Caballito,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),9
2026-02-01,Villa Urquiza,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),9
2026-02-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),7
2026-02-01,Scalabrini,Ambos,PDD,Fallamos a ambos - PDD Low Cost Dry - OneTask (Auto),4
2026-02-01,Vicente Lopez,Comprador,PNR,Respuestas Ágiles - Fallamos al C - Ambos usuarios riesgo bajo PNR C Flex (Auto) (V),3
2026-02-01,Scalabrini,Comprador,PDD,Fallamos al C - producto irrecuperable,3
2026-02-01,Vicente Lopez,Ambos,PDD,Fallamos a ambos - PDD Low Cost Fresh - OneTask (Auto),3
2026-02-01,Vicente Lopez,Ambos,PDD,Fallamos ambos - Low Cost 16 USD (arrepentimiento),3
2026-02-01,Vicente Lopez,Vendedor,PDD,Fallamos al V - comprador riesgo alto por scoring - PDD (Auto) (V),3
